Date,Open,Adj Close
2021-06-16,199.18,201.62
2021-06-17,200.63,205.53
2021-06-18,204.46,207.77
2021-06-21,208.16,206.94
2021-06-22,206.08,207.9
2021-06-23,210.67,218.86
2021-06-24,225.0,226.61
2021-06-25,229.86,223.96
2021-06-28,223.88,229.57
2021-06-29,228.22,226.92
2021-06-30,226.59,226.57
2021-07-01,227.97,225.97
2021-07-02,226.33,226.3
2021-07-06,227.24,219.86
2021-07-07,221.42,214.88
2021-07-08,209.46,217.6
2021-07-09,217.73,218.98
2021-07-12,220.73,228.57
2021-07-13,228.77,222.85
2021-07-14,223.58,217.79
2021-07-15,219.46,216.87
2021-07-16,218.23,214.74
2021-07-19,209.96,215.41
2021-07-20,217.33,220.17
2021-07-21,219.87,218.43
2021-07-22,218.81,216.42
2021-07-23,215.45,214.46
2021-07-26,216.99,219.21
2021-07-27,221.13,214.93
2021-07-28,215.67,215.66
2021-07-29,216.6,225.78
2021-07-30,223.92,229.07
2021-08-02,233.33,236.56
2021-08-03,239.67,236.58
2021-08-04,237.0,236.97
2021-08-05,238.67,238.21
2021-08-06,237.3,233.03
2021-08-09,236.72,237.92
2021-08-10,238.0,236.66
2021-08-11,237.57,235.94
2021-08-12,235.45,240.75
2021-08-13,241.24,239.06
2021-08-16,235.02,228.72
2021-08-17,224.22,221.9
2021-08-18,223.25,229.66
2021-08-19,226.07,224.49
2021-08-20,227.62,226.75
2021-08-23,228.48,235.43
2021-08-24,236.89,236.16
2021-08-25,235.68,237.07
2021-08-26,236.1,233.72
2021-08-27,235.0,237.31
2021-08-30,238.24,243.64
2021-08-31,244.33,245.24
2021-09-01,244.69,244.7
2021-09-02,244.83,244.13
2021-09-03,244.08,244.52
2021-09-07,246.67,250.97
2021-09-08,253.86,251.29
